"","cds","stype","name","sname","snum","dname","dnum","cname","cnum","flag","pcttest","api00","api99","target","growth","sch.wide","comp.imp","both","awards","meals","ell","yr.rnd","mobility","acs.k3","acs.46","acs.core","pct.resp","not.hsg","hsg","some.col","col.grad","grad.sch","avg.ed","full","emer","enroll","api.stu","pw","fpc"
"1039","15739081534155","H","McFarland High","McFarland High",1039,"McFarland Unified",432,"Kern",14,NA,98,462,448,18,14,"No","Yes","No","No",44,31,NA,6,NA,NA,24,82,44,34,12,7,3,1.9099999666214,71,35,477,429,30.97,6194
"1124","19642126066716","E","Stowers (Cecil ","Stowers (Cecil B.) Elementary",1124,"ABC Unified",1,"Los Angeles",18,NA,100,878,831,NA,47,"Yes","Yes","Yes","Yes",8,25,NA,15,19,30,NA,97,4,10,23,43,21,3.66000008583069,90,10,478,420,30.97,6194
"2868","30664493030640","H","Brea-Olinda Hig","Brea-Olinda High",2868,"Brea-Olinda Unified",79,"Orange",29,NA,98,734,742,3,-8,"No","No","No","No",10,10,NA,7,NA,NA,28,95,5,9,21,41,24,3.71000003814697,83,18,1410,1287,30.97,6194
"1273","19644516012744","E","Alameda Element","Alameda Elementary",1273,"Downey Unified",187,"Los Angeles",18,NA,99,772,657,7,115,"Yes","Yes","Yes","Yes",70,25,NA,23,23,NA,NA,100,37,40,14,8,1,1.96000003814697,85,18,342,291,30.97,6194
"4926","40688096043293","E","Sunnyside Eleme","Sunnyside Elementary",4926,"San Luis Coastal Unified",640,"San Luis Obispo",39,NA,99,739,719,4,20,"Yes","Yes","Yes","Yes",43,12,NA,12,20,29,NA,91,8,21,27,34,10,3.17000007629395,100,0,217,189,30.97,6194
"2463","19734456014278","E","Los Molinos Ele","Los Molinos Elementary",2463,"Hacienda la Puente Unif",284,"Los Angeles",18,NA,93,835,822,NA,13,"Yes","Yes","Yes","No",16,19,NA,13,19,29,NA,71,1,8,20,38,34,3.96000003814697,75,20,258,211,30.97,6194
"2031","19647336058200","M","Northridge Midd","Northridge Middle",2031,"Los Angeles Unified",401,"Los Angeles",18,NA,98,456,472,16,-16,"No","No","No","No",81,40,NA,22,NA,30,27,49,30,27,18,22,2,2.39000010490417,72,25,1274,1090,30.97,6194
"1736","19647336017271","E","Glassell Park E","Glassell Park Elementary",1736,"Los Angeles Unified",401,"Los Angeles",18,NA,99,506,474,16,32,"Yes","Yes","Yes","Yes",98,65,"No",43,18,29,NA,75,49,31,15,2,3,1.78999996185303,69,22,566,353,30.97,6194
"2142","19648166020747","E","Maxson Elementa","Maxson Elementary",2142,"Mountain View Elem",470,"Los Angeles",18,NA,100,543,458,17,85,"Yes","Yes","Yes","Yes",94,65,NA,15,19,32,NA,99,48,34,14,4,1,1.76999998092651,68,29,645,563,30.97,6194
"4754","38684786041669","E","Treasure Island","Treasure Island Elementary",4754,"San Francisco Unified",632,"San Francisco",37,NA,90,649,604,10,45,"Yes","No","No","No",85,57,NA,10,16,25,30,49,23,36,14,21,6,2.50999999046326,81,7,311,258,30.97,6194
"1669","19647336016497","E","Cimarron Avenue","Cimarron Avenue Elementary",1669,"Los Angeles Unified",401,"Los Angeles",18,NA,95,556,575,11,-19,"No","No","No","No",81,4,NA,20,16,27,NA,62,5,38,29,24,5,2.84999990463257,84,16,328,253,30.97,6194
"2721","25735934737250","H","Tulelake High","Tulelake High",2721,"Tulelake Basin Unified",753,"Modoc",24,NA,100,671,620,9,51,"Yes","Yes","Yes","Yes",67,25,NA,12,NA,NA,17,96,44,19,17,19,2,2.17000007629395,100,0,210,166,30.97,6194
"1027","15638426010268","M","Jefferson (Thom","Jefferson (Thomas) Middle",1027,"Wasco Union Elementary",784,"Kern",14,NA,97,528,524,14,4,"No","No","No","No",77,32,NA,4,NA,NA,27,77,40,34,16,8,2,1.96000003814697,89,11,529,492,30.97,6194
"63","01611766000715","E","Maloney (Tom) E","Maloney (Tom) Elementary",63,"Fremont Unified",248,"Alameda",1,NA,99,742,691,5,51,"Yes","Yes","Yes","Yes",20,16,NA,32,19,29,NA,96,4,14,25,37,19,3.52999997138977,95,5,313,254,30.97,6194
"5574","48705406051072","E","Bransford Eleme","Bransford Elementary",5574,"Fairfield-Suisun Unified",229,"Solano",47,NA,98,555,505,15,50,"Yes","Yes","Yes","Yes",70,23,"No",17,21,30,NA,39,14,57,18,10,1,2.25999999046326,96,6,628,519,30.97,6194
"1693","19647336016786","E","Dolores Street ","Dolores Street Elementary",1693,"Los Angeles Unified",401,"Los Angeles",18,NA,100,631,594,10,37,"Yes","Yes","Yes","Yes",75,18,NA,9,20,27,NA,51,18,28,27,23,3,2.65000009536743,83,10,570,518,30.97,6194
"5453","44697656113559","M","Shoreline Middl","Shoreline Middle",5453,"Live Oak Elementary",386,"Santa Cruz",43,NA,99,698,677,6,21,"Yes","Yes","Yes","Yes",24,13,NA,11,NA,29,25,99,15,26,20,28,10,2.94000005722046,92,8,714,632,30.97,6194
"2736","27659876026033","M","Carmel Middle","Carmel Middle",2736,"Carmel Unified",111,"Monterey",26,NA,100,810,794,1,16,"Yes","Yes","Yes","Yes",10,0,NA,12,NA,21,24,83,2,7,28,31,32,3.83999991416931,97,3,621,560,30.97,6194
"4125","36678763634680","H","Pacific High","Pacific High",4125,"San Bernardino City Unif",627,"San Bernardino",35,NA,95,502,505,15,-3,"No","No","No","No",72,23,NA,15,NA,NA,31,80,31,26,30,11,3,2.29999995231628,83,14,1950,1717,30.97,6194
"1290","19644696012918","E","Andres Duarte E","Andres Duarte Elementary",1290,"Duarte Unified",189,"Los Angeles",18,NA,100,532,494,15,38,"Yes","Yes","Yes","Yes",82,30,NA,18,19,33,NA,99,16,60,14,9,1,2.20000004768372,90,17,411,323,30.97,6194
"3347","33669776031512","E","Arlanza Element","Arlanza Elementary",3347,"Alvord Unified",19,"Riverside",32,NA,99,430,391,20,39,"Yes","Yes","Yes","Yes",87,60,"No",28,20,32,NA,95,53,32,13,2,1,1.6599999666214,64,31,593,438,30.97,6194
"1654","19647336016349","E","Caroldale Avenu","Caroldale Avenue Elementary",1654,"Los Angeles Unified",401,"Los Angeles",18,NA,97,658,615,9,43,"Yes","Yes","Yes","Yes",59,18,NA,13,19,29,26,78,14,21,28,33,5,2.94000005722046,76,13,828,745,30.97,6194
"1909","19647336019160","E","Shenandoah Stre","Shenandoah Street Elementary",1909,"Los Angeles Unified",401,"Los Angeles",18,NA,84,453,423,19,30,"Yes","Yes","Yes","No",98,53,NA,13,18,29,NA,35,19,36,17,25,4,2.5699999332428,61,30,570,437,30.97,6194
"5928","54722566054654","E","Mountain View E","Mountain View Elementary",5928,"Visalia Unified",779,"Tulare",53,NA,100,635,619,9,16,"Yes","Yes","Yes","Yes",37,4,"No",16,18,27,NA,100,5,33,38,21,3,2.84999990463257,97,3,552,495,30.97,6194
"2138","19648166020705","M","Kranz (Charles ","Kranz (Charles T.) Intermediat",2138,"Mountain View Elem",470,"Los Angeles",18,NA,99,508,471,16,37,"Yes","Yes","Yes","Yes",91,62,NA,14,NA,NA,29,99,64,23,9,3,1,1.52999997138977,85,8,1016,820,30.97,6194
"2335","19650456107205","E","Pinetree Commun","Pinetree Community Elementary",2335,"Sulphur Springs Un Elem",720,"Los Angeles",18,NA,99,804,787,1,17,"Yes","Yes","Yes","Yes",10,1,"No",7,19,27,NA,95,1,26,35,31,7,3.17000007629395,96,4,684,638,30.97,6194
"1200","19643036011704","E","Foster (Stephen","Foster (Stephen) Elementary",1200,"Bellflower Unified",56,"Los Angeles",18,NA,100,813,794,1,19,"Yes","Yes","Yes","Yes",24,2,NA,21,20,31,NA,66,4,18,40,28,11,3.24000000953674,95,5,535,465,30.97,6194
"1662","19647336016422","E","Chandler Elemen","Chandler Elementary",1662,"Los Angeles Unified",401,"Los Angeles",18,NA,100,650,590,11,60,"Yes","Yes","Yes","Yes",74,41,NA,22,15,27,NA,1,0,75,25,0,0,2.25,69,31,381,299,30.97,6194
"4171","36678766068712","M","Serrano Middle","Serrano Middle",4171,"San Bernardino City Unif",627,"San Bernardino",35,NA,97,569,552,12,17,"Yes","No","No","No",67,15,NA,20,NA,NA,30,100,27,32,28,10,2,2.28999996185303,78,27,1051,841,30.97,6194
"4664","37735696038863","M","Lincoln Middle","Lincoln Middle",4664,"Oceanside Unified",510,"San Diego",36,NA,99,642,618,9,24,"Yes","Yes","Yes","Yes",44,21,NA,31,NA,32,31,91,24,19,27,21,8,2.71000003814697,95,5,1405,1167,30.97,6194
"1779","19647336017735","E","Kittridge Stree","Kittridge Street Elementary",1779,"Los Angeles Unified",401,"Los Angeles",18,NA,99,500,424,19,76,"Yes","Yes","Yes","Yes",93,73,"No",22,18,30,NA,0,0,0,0,0,0,NA,73,25,688,566,30.97,6194
"4430","37682966070841","E","Los Penasquitos","Los Penasquitos Elementary",4430,"Poway Unified",575,"San Diego",36,NA,99,808,772,1,36,"Yes","Yes","Yes","Yes",37,28,NA,13,19,30,NA,95,4,14,37,30,15,3.38000011444092,100,6,408,352,30.97,6194
"5586","48705406067144","E","Richardson (H. ","Richardson (H. Glenn) Elementary",5586,"Fairfield-Suisun Unified",229,"Solano",47,NA,100,594,555,12,39,"Yes","No","No","No",51,8,"No",10,21,32,NA,43,7,48,32,10,3,2.52999997138977,92,8,436,380,30.97,6194
"3809","34674473438504","H","San Juan High","San Juan High",3809,"San Juan Unified",636,"Sacramento",33,NA,96,607,589,11,18,"Yes","Yes","Yes","Yes",37,23,NA,21,NA,NA,28,87,7,26,25,35,6,3.07999992370605,94,6,734,556,30.97,6194
"3925","36676376105936","E","Big Bear Elemen","Big Bear Elementary",3925,"Bear Valley Unified",50,"San Bernardino",35,NA,99,760,717,4,43,"Yes","Yes","Yes","Yes",37,9,NA,14,19,27,NA,87,8,22,30,25,14,3.13000011444092,100,3,449,387,30.97,6194
"2614","21654662134005","H","Terra Linda Hig","Terra Linda High",2614,"San Rafael City High",649,"Marin",20,NA,85,764,749,3,15,"Yes","Yes","Yes","No",4,2,NA,4,NA,NA,26,88,4,5,15,42,33,3.95000004768372,92,8,713,282,30.97,6194
"837","13631236008437","E","Harding Element","Harding Elementary",837,"El Centro Elementary",200,"Imperial",12,NA,100,622,519,14,103,"Yes","Yes","Yes","Yes",96,56,NA,24,19,33,NA,61,14,25,30,17,14,2.92000007629395,100,4,397,353,30.97,6194
"5485","44698156049886","E","De Laveaga Elem","De Laveaga Elementary",5485,"Santa Cruz City Elem",657,"Santa Cruz",43,NA,98,793,750,3,43,"Yes","Yes","Yes","Yes",26,16,NA,8,20,26,NA,87,15,9,22,31,23,3.36999988555908,93,4,373,328,30.97,6194
"6135","56739406102230","M","Chaparral Middl","Chaparral Middle",6135,"Moorpark Unified",460,"Ventura",55,NA,100,802,758,2,44,"Yes","Yes","Yes","Yes",18,13,NA,12,NA,29,30,84,7,10,15,42,26,3.71000003814697,97,3,835,783,30.97,6194
"4879","39686766042766","E","Taft (William H","Taft (William Howard) Elementary",4879,"Stockton City Unified",716,"San Joaquin",38,NA,100,529,482,16,47,"Yes","Yes","Yes","Yes",83,28,NA,16,18,23,NA,68,31,23,29,14,4,2.36999988555908,80,13,352,315,30.97,6194
"5647","49708546051965","E","McKinley Elemen","McKinley Elementary",5647,"Petaluma City Elementary",547,"Sonoma",48,NA,100,630,612,9,18,"Yes","No","No","No",52,26,NA,17,22,26,NA,93,25,24,31,15,5,2.50999999046326,100,0,213,169,30.97,6194
"973","15635456009641","E","Kernville Eleme","Kernville Elementary",973,"Kernville Union Elem",335,"Kern",14,NA,98,742,696,5,46,"Yes","Yes","Yes","Yes",57,0,NA,15,17,24,NA,100,11,33,32,13,12,2.82999992370605,100,0,151,122,30.97,6194
"590","10621176005854","E","Dry Creek Eleme","Dry Creek Elementary",590,"Clovis Unified",140,"Fresno",9,NA,99,842,833,NA,9,"Yes","Yes","Yes","Yes",15,6,NA,13,20,35,NA,95,3,21,23,39,14,3.41000008583069,94,6,567,519,30.97,6194
"1993","19647336020010","E","Wonderland Aven","Wonderland Avenue Elementary",1993,"Los Angeles Unified",401,"Los Angeles",18,NA,100,903,891,NA,12,"Yes","Yes","Yes","Yes",14,16,NA,22,19,30,NA,81,0,8,11,54,28,4.01999998092651,75,25,339,324,30.97,6194
"1911","19647336019186","E","Sherman Oaks El","Sherman Oaks Elementary",1911,"Los Angeles Unified",401,"Los Angeles",18,NA,100,720,708,5,12,"Yes","No","No","No",21,13,NA,20,19,27,NA,72,5,22,18,37,18,3.41000008583069,81,11,632,570,30.97,6194
"908","15633396009229","M","Beardsley Junio","Beardsley Junior High",908,"Beardsley Elementary",51,"Kern",14,NA,100,634,602,10,32,"Yes","Yes","Yes","Yes",74,2,NA,18,NA,NA,26,97,34,43,16,7,0,1.97000002861023,93,7,318,250,30.97,6194
"3727","34674216033757","E","Taylor Street E","Taylor Street Elementary",3727,"Robla Elementary",606,"Sacramento",33,NA,100,529,550,13,-21,"No","No","No","No",78,17,NA,3,20,29,NA,94,34,47,12,6,1,1.92999994754791,96,4,454,439,30.97,6194
"1169","19642876011407","E","Deanza Elementa","Deanza Elementary",1169,"Baldwin Park Unified",42,"Los Angeles",18,NA,100,540,457,17,83,"Yes","Yes","Yes","Yes",90,66,NA,13,20,31,NA,0,0,0,0,0,0,NA,69,26,641,582,30.97,6194
"4295","37680236037865","E","Halecrest Eleme","Halecrest Elementary",4295,"Chula Vista Elementary",135,"San Diego",36,NA,100,795,758,2,37,"Yes","Yes","Yes","Yes",26,14,NA,23,19,28,NA,0,0,0,0,0,0,NA,97,3,407,353,30.97,6194
"4551","37683386040190","E","King (Martin Lu","King (Martin Luther) Elementary",4551,"San Diego City Unified",630,"San Diego",36,NA,100,485,406,20,79,"Yes","Yes","Yes","Yes",100,78,NA,24,21,29,NA,84,76,14,8,2,1,1.38999998569489,84,7,508,489,30.97,6194
"67","01611766000764","E","Hirsch (O. N.) ","Hirsch (O. N.) Elementary",67,"Fremont Unified",248,"Alameda",1,NA,100,734,749,3,-15,"No","No","No","No",22,10,NA,19,26,29,NA,95,6,12,32,37,13,3.39000010490417,81,19,297,266,30.97,6194
"4275","37679916037683","E","Lexington Eleme","Lexington Elementary",4275,"Cajon Valley Union Elem",98,"San Diego",36,NA,98,665,592,10,73,"Yes","Yes","Yes","Yes",77,18,NA,29,19,33,NA,65,16,35,34,12,4,2.52999997138977,100,10,343,293,30.97,6194
