"","SERNUM","CTBAND","ADULTH","DEPCHLDH","GROSS2","HHINC","PSU","TENURE"
"1",2895,1,2,0,406,4,198,4
"2",1022,2,1,0,560,13,71,1
"3",855,6,1,0,514,14,61,1
"4",2585,4,2,0,382,18,177,1
"5",704,6,2,0,537,19,50,1
"6",4564,3,2,0,490,22,311,2
"7",2723,7,2,0,470,26,185,1
"8",2381,4,1,2,322,28,164,1
"9",3254,3,2,5,347,31,222,4
"10",4258,9,1,0,608,32,291,4
"11",1094,1,1,0,539,39,76,3
"12",2524,3,1,0,763,40,173,4
"13",2694,1,1,0,799,40,183,4
"14",3259,1,1,0,621,40,223,3
"15",531,2,1,0,437,41,38,1
"16",603,1,1,0,683,41,43,2
"17",1658,1,2,0,458,41,113,2
"18",4402,4,1,0,485,41,300,4
"19",1425,3,1,0,755,42,98,1
"20",4018,2,2,0,593,43,275,1
"21",180,3,1,0,573,44,12,1
"22",699,7,1,0,609,44,50,1
"23",2161,5,1,0,345,44,150,1
"24",2434,7,2,0,517,44,167,1
"25",2840,1,1,0,768,44,194,1
"26",1904,4,1,1,271,45,130,4
"27",2206,1,1,0,661,45,153,4
"28",2310,2,1,0,444,45,160,1
"29",351,1,1,0,625,47,25,1
"30",1103,1,2,0,877,47,76,4
"31",1913,7,2,0,408,47,130,1
"32",1490,3,1,0,538,48,103,4
"33",512,1,1,0,584,49,36,3
"34",893,1,1,0,771,49,63,1
"35",707,5,2,2,447,50,50,1
"36",1305,3,2,0,433,50,91,1
"37",3263,2,1,0,422,50,223,1
"38",3459,5,2,0,636,50,236,4
"39",3807,5,2,0,455,50,261,1
"40",4000,3,1,0,572,50,274,1
"41",1768,1,1,0,901,52,120,2
"42",2652,1,1,0,458,52,181,1
"43",3567,2,1,0,392,53,243,1
"44",3849,1,1,0,587,53,264,3
"45",4292,1,1,0,421,53,293,2
"46",3301,1,1,0,641,54,226,2
"47",3773,4,1,0,446,54,258,1
"48",40,7,2,0,522,55,3,1
"49",976,6,2,0,552,55,68,1
"50",4134,2,1,0,603,55,283,2
"51",1746,5,2,0,524,56,118,1
"52",1894,6,3,0,683,56,129,1
"53",3945,4,1,0,509,56,270,1
"54",117,1,1,0,653,57,8,1
"55",2304,1,2,0,396,57,159,2
"56",606,3,1,0,5238,58,43,4
"57",1698,2,1,0,343,58,116,4
"58",2164,1,1,0,349,58,150,2
"59",1162,3,2,0,751,59,80,4
"60",1370,9,1,0,701,59,95,4
"61",4232,1,1,0,315,59,289,4
"62",207,2,1,0,625,60,15,4
"63",4159,2,2,0,524,60,285,1
"64",1240,1,1,0,719,62,86,3
"65",1795,2,2,0,581,62,122,4
"66",1531,1,1,0,658,63,105,1
