"","SERNO","EST_WT","FEMALE","NEMPSIZE","DISABGRP","ETHNIC","EO","GROSSWT","STRATA","SAMPFRAC"
"1",1,0.323353928809071,60.4651162790698,"50-99","none",15.1162790697674,1,37.8255451621796,56,0.0370919899201984
"2",2,0.892390757821409,33.3333333333333,"25-49","3%+",16.6666666666667,0,104.390774024634,65,0.0100069779653621
"3",3,0.0837916746240899,71.6824644549763,"500+","under 3%",39.9881516587678,1,9.8018471103211,68,0.135911559128669
"4",4,0.165401651118795,99.740932642487,"200-499",NA,18.3937823834197,1,19.3484818549622,22,0.0678528773597605
"5",5,0.50262473838937,6.66666666666667,"50-99","none",8.33333333333333,0,58.7964241275749,13,0.0206154527415511
"6",6,0.718280708023249,8.69565217391304,"50-99","none",8.69565217391304,1,84.0235943955339,40,0.0134516802663647
"7",7,1.24817577066449,83.7837837837838,"25-49","under 3%",16.2162162162162,1,146.010067536509,54,0.00700256416632904
"8",8,0.153402920208538,63.2231404958678,"200-499","none",53.3057851239669,1,17.944885060557,7,0.0660441576372327
"9",9,0.146822421210452,31.6666666666667,"500+",NA,NA,1,17.1751063757625,18,0.0856239473833312
"10",10,0.165401651118795,50.1754385964912,"200-499","under 3%",15.0877192982456,1,19.3484818549622,22,0.0678528773597605
"11",11,0.290305676317893,16.8181818181818,"200-499","under 3%",53.1818181818182,1,33.9596012049181,52,0.0395070592012929
"12",12,1.51947713128357,98,"50-99","none",58,1,177.746567248925,61,0.00677928528601078
"13",13,0.263844310853094,12.8571428571429,"50-99","3%+",30,1,30.8641831961495,41,0.153122454904394
"14",14,0.419296780461778,21.551724137931,"100-199","under 3%",6.89655172413793,1,49.0488220264623,36,0.0288290343078592
"15",15,0.384390401084471,86.9565217391304,"50-99","none",2.17391304347826,1,44.9655166698599,5,0.0293788467561389
"16",16,0.124037059252627,16.6051660516605,"500+",NA,8.30258302583026,1,14.5097027391138,30,0.0110481515839893
"17",17,0.419296780461778,53.7313432835821,"50-99","under 3%",61.1940298507463,1,49.0488220264623,17,0.0318460922494122
"18",18,0.0714106907173364,50,"500+","under 3%",8.36363636363636,1,8.3535348302076,34,0.109039200763747
"19",19,0.557849777795442,51.6666666666667,"50-99","under 3%",10,1,65.2565813609541,15,0.016978345739305
"20",20,1.89017711435322,28.5714285714286,"25-49","none",0,0,221.110595646118,66,0.00498861189357964
"21",21,0.0825735353553737,3.35249042145594,"500+",NA,54.9808429118774,1,9.65935067586506,10,0.137892762595973
"22",22,0.119354418174298,53.0973451327434,"100-199","under 3%",20.353982300885,1,13.9619331411412,10,0.137892762595973
"23",23,0.419296780461778,21.7391304347826,"200-499","under 3%",18.2608695652174,1,49.0488220264623,3,0.031385858661507
"24",24,0.0837916746240899,58.3333333333333,"500+","under 3%",34.9593495934959,1,9.8018471103211,68,0.135911559128669
"25",25,0.165401651118795,13.3663366336634,"200-499","none",9.9009900990099,0,19.3484818549622,22,0.0678528773597605
"26",26,7.04578455260305,40,"10-24","none",30,1,824.207217085768,53,0.0016595032120847
"27",27,0.718280708023249,33.0827067669173,"100-199","none",21.8045112781955,1,84.0235943955339,28,0.0152474354483935
"28",28,0.476374493812164,41.6666666666667,"200-499","under 3%",3.47222222222222,1,55.7257027807511,40,0.0134516802663647
