"","weight","stratum","psu","qn8"
"1",5.0115,111,270530,1
"2",3.8631,111,270530,1
"3",5.0008,111,270530,NA
"4",5.0008,111,270530,1
"5",4.978,111,270530,NA
"6",5.0008,111,270530,1
"7",3.9376,111,270530,1
"8",4.5667,111,270530,NA
"9",5.0115,111,270530,1
"10",5.0115,111,270530,NA
"11",4.9762,111,270530,NA
"12",5.0115,111,270530,1
"13",4.0256,111,270530,1
"14",4.0256,111,270530,1
"15",4.0154,111,270530,1
"16",5.0115,111,270530,2
"17",4.0256,111,270530,NA
"18",5.0115,111,270530,1
"19",4.9726,111,270530,NA
"20",5.0115,111,270530,1
"21",4.9726,111,270530,1
"22",3.7618,111,270530,NA
"23",1.5014,201,391710,1
"24",1.7337,201,391710,1
"25",1.7337,201,391710,NA
"26",1.7337,201,391710,1
"27",2.6799,201,391710,1
"28",2.6799,201,391710,1
"29",2.6799,201,391710,1
"30",2.6799,201,391710,1
"31",2.6799,201,391710,1
"32",2.6799,201,391710,NA
"33",1.7337,201,391710,1
"34",2.6799,201,391710,1
"35",1.7337,201,391710,NA
"36",1.7337,201,391710,1
"37",4.6949,201,391710,1
"38",0.8887,201,391710,NA
"39",1.7337,201,391710,1
"40",1.7337,201,391710,1
"41",1.7337,201,391710,1
"42",1.7337,201,391710,1
"43",1.7337,201,391710,NA
"44",1.7337,201,391710,1
"45",1.7337,201,391710,1
"46",1.7337,201,391710,NA
"47",1.3737,201,391710,1
"48",2.6799,201,391710,NA
"49",1.7337,201,391710,NA
"50",1.7337,201,391710,1
"51",4.6949,201,391710,NA
"52",4.73,201,391710,NA
"53",4.73,201,391710,1
"54",2.5584,201,391710,1
"55",4.73,201,391710,1
"56",4.6949,201,391710,1
"57",4.73,201,391710,1
"58",4.73,201,391710,1
"59",2.0769,201,391710,1
"60",4.6949,201,391710,1
"61",4.73,201,391710,1
"62",4.73,201,391710,1
"63",4.73,201,391710,1
"64",3.7712,201,391710,1
"65",3.7712,201,391710,NA
"66",3.7712,201,391710,1
"67",3.7712,201,391710,1
"68",2.7329,201,391710,1
"69",2.7329,201,391710,1
"70",2.7329,201,391710,1
"71",3.7712,201,391710,1
"72",2.7329,201,391710,1
"73",2.0987,201,391710,NA
"74",3.7712,201,391710,1
"75",2.5584,201,391710,1
"76",2.7329,201,391710,1
"77",2.0444,201,391710,1
"78",2.5584,201,391710,NA
"79",2.5584,201,391710,1
"80",2.0444,201,391710,1
"81",2.5584,201,391710,1
"82",2.7329,201,391710,1
"83",2.7329,201,391710,NA
"84",3.7712,201,391710,NA
"85",3.7712,201,391710,1
"86",2.7329,201,391710,1
"87",2.8961,201,391710,1
"88",2.7329,201,391710,1
"89",3.7712,201,391710,NA
"90",2.5584,201,391710,1
"91",2.7802,201,391710,1
"92",2.7802,201,391710,1
"93",2.5584,201,391710,1
"94",2.5584,201,391710,1
"95",2.5584,201,391710,1
"96",2.7802,201,391710,1
"97",2.7802,201,391710,1
"98",2.5584,201,391710,NA
"99",2.5584,201,391710,1
"100",2.2216,201,391710,1
"101",2.5584,201,391710,NA
"102",2.5584,201,391710,NA
"103",2.7802,201,391710,1
"104",2.6799,201,391710,1
"105",2.6799,201,391710,NA
"106",2.5584,201,391710,1
"107",2.7802,201,391710,1
"108",1.2946,201,391710,1
"109",2.7329,201,391710,1
"110",2.7329,201,391710,1
"111",2.5584,201,391710,1
"112",2.7802,201,391710,1
"113",2.5584,201,391710,1
"114",2.5584,201,391710,1
"115",2.7802,201,391710,1
"116",2.5584,201,391710,1
"117",2.5584,201,391710,1
"118",2.5584,201,391710,1
"119",3.4977,103,10530,1
"120",1.1941,103,10530,1
"121",3.4977,103,10530,NA
"122",1.6713,103,10530,1
"123",1.1941,103,10530,1
"124",1.6713,103,10530,NA
"125",1.6713,103,10530,1
"126",1.1941,103,10530,NA
"127",0.8351,103,10530,1
"128",1.6713,103,10530,NA
"129",3.4977,103,10530,1
"130",2.4991,103,10530,NA
"131",1.1941,103,10530,2
"132",1.6713,103,10530,1
"133",2.4991,103,10530,1
"134",0.6431,103,10530,1
"135",1.6645,103,10530,1
"136",1.2801,103,10530,1
"137",1.6645,103,10530,1
"138",1.1688,103,10530,1
"139",1.2801,103,10530,1
"140",1.2801,103,10530,NA
"141",1.2801,103,10530,NA
"142",0.8989,103,10530,1
"143",1.2801,103,10530,1
"144",1.6645,103,10530,1
"145",1.2801,103,10530,1
"146",0.8989,103,10530,2
"147",0.8989,103,10530,NA
"148",1.2801,103,10530,NA
"149",1.1688,103,10530,1
"150",1.2801,103,10530,NA
"151",1.2801,103,10530,1
"152",0.8222,103,10530,1
"153",1.079,103,10530,1
"154",0.8222,103,10530,1
"155",0.8222,103,10530,1
"156",1.045,103,10530,1
"157",1.3715,103,10530,1
"158",0.8222,103,10530,NA
"159",0.8222,103,10530,1
"160",1.3715,103,10530,NA
"161",1.3715,103,10530,1
"162",1.1688,103,10530,1
"163",1.6645,103,10530,2
"164",1.1688,103,10530,1
"165",1.6645,103,10530,1
"166",1.4724,103,10530,1
"167",1.0639,103,10530,1
"168",1.0639,103,10530,NA
"169",1.0639,103,10530,NA
"170",0.6431,103,10530,1
"171",0.8901,103,10530,1
"172",0.3297,103,10530,NA
"173",0.8685,103,10530,NA
"174",1.045,103,10530,1
"175",0.8222,103,10530,1
"176",1.3715,103,10530,1
"177",1.045,103,10530,NA
"178",0.8222,103,10530,NA
"179",1.045,103,10530,NA
"180",0.6142,103,10530,1
"181",1.3715,103,10530,NA
"182",0.8222,103,10530,1
